
TimeEdit,Linköpings universitet
"Y3.a, CIV ING UTB TEKNISK FYSIK O ELEKTROTEKNIK",2018-07-30 - 2019-07-01,
Startdatum,Starttid,Slutdatum,Sluttid,Kurs,Lokal,Undervisningstyp,Lärare,Studentgrupp,Fria grupper,Information till student,Studentförening,URL 
2018-10-08,13:15,2018-10-08,15:00,TAMS24,VAL,Föreläsning,Johan Thim,"MED3,Y3,Yi3",,,,
2018-10-09,08:15,2018-10-09,10:00,TATA77,C3,Föreläsning,Mats Aigner,"MAT3,Y3",,,,
2018-10-09,10:15,2018-10-09,12:00,TDDC76,U10,Seminarium,Oskar Holmström,"FyN3,MAT3,MED3,Y3,Yi3",Grupp C,Kodgranskning inför inlämning av lab 3,,
2018-10-09,10:15,2018-10-09,12:00,TDDC76,U14,Seminarium,Frida Flodin,"FyN3,MAT3,MED3,Y3,Yi3",Grupp A,Kodgranskning inför inlämning av lab 3,,
2018-10-09,10:15,2018-10-09,12:00,TDDC76,U15,Seminarium,Lukas Pohlman,"FyN3,MAT3,MED3,Y3,Yi3",Grupp B,Kodgranskning inför inlämning av lab 3,,
2018-10-09,10:15,2018-10-09,12:00,TDDC76,U7,Seminarium,William Stenberg,"FyN3,MAT3,MED3,Y3,Yi3",Grupp D,Kodgranskning inför inlämning av lab 3,,
2018-10-09,13:15,2018-10-09,15:00,TFYA43,BL32,Föreläsning,,"BME2,FyN2,MSN1,Y3",,,,
2018-10-09,15:15,2018-10-09,17:00,TAMS24,S15,Lektion,Denise Uwamariya,Y3.a,,,,
2018-10-10,08:15,2018-10-10,10:00,TAMS24,C2,Föreläsning,Johan Thim,"MED3,Y3,Yi3",,,,
2018-10-10,10:15,2018-10-10,12:00,TATA77,U10,Lektion,Mats Aigner,"MAT3,Y3",Grupp A,,,
2018-10-10,10:15,2018-10-10,12:00,TATA77,U11,Lektion,Lars Alexandersson,"MAT3,Y3",Grupp B,,,
2018-10-10,13:15,2018-10-10,15:00,TDDC76,"SU10,SU11",Laboration,"Oskar Holmström,William Stenberg","FyN3,MAT3,MED3,Y3,Yi3","Grupp C1,Grupp D1",,,
2018-10-10,13:15,2018-10-10,15:00,TDDC76,SU15/16,Laboration,"Frida Flodin,Lukas Pohlman","FyN3,MAT3,MED3,Y3,Yi3","Grupp A1,Grupp B1",,,
2018-10-10,15:15,2018-10-10,17:00,TDDC76,"SU10,SU11",Laboration,"Oskar Holmström,William Stenberg","FyN3,MAT3,MED3,Y3,Yi3","Grupp C2,Grupp D2",,,
2018-10-10,15:15,2018-10-10,17:00,TDDC76,SU15/16,Laboration,"Frida Flodin,Lukas Pohlman","FyN3,MAT3,MED3,Y3,Yi3","Grupp A2,Grupp B2",,,
2018-10-11,08:15,2018-10-11,10:00,TFYA43,E324,Föreläsning,,"BME2,FyN2,MSN1,Y3",,,,
2018-10-11,13:15,2018-10-11,15:00,TATA77,U10,Lektion,Mats Aigner,"MAT3,Y3",Grupp A,,,
2018-10-11,13:15,2018-10-11,15:00,TATA77,U11,Lektion,Lars Alexandersson,"MAT3,Y3",Grupp B,,,
2018-10-11,15:15,2018-10-11,17:00,TATA77,C3,Föreläsning,Mats Aigner,"MAT3,Y3",,,,
2018-10-12,08:15,2018-10-12,10:00,TDDC76,SU15/16,Laboration,"Frida Flodin,Lukas Pohlman","FyN3,MAT3,MED3,Y3,Yi3","Grupp A1,Grupp B1",,,
